"objectid","standort","ortsbezeichnung","quartier","stadtkreis","baujahr","historisches_baujahr","art_eigentuemer","eigentuemer","wasserart","brunnennummer","brunnenart","art","architekt_bildhauer","steinhauer","material_trog","material_saeule","material_figur","abgestellt","datum_abstellung","grund_abstellung","hkoord","vkoord","bemerkung1","bemerkung2","foto","druckzone","u_aks_nummer","datum_wiederinbetriebnahme","datum_aenderung","geometry"
"168","Sihlquai 87/Ausstellungsstr. 60","Schulhaus","Industrie","5","","1934","städtisch","IMMO","Züriwasser","581","Brunnen in städtischer Liegenschaft","öffentlich","Carl Fischer","Carl Fischer","Bronze","","Bronze","nein","","","2682926.17","1248557.013","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","Limmatzone","{F95C8E7A-606A-4AE3-BF75-0EFFBC773979}","","202308241444","POINT (2682926.2 1248557)"
"239","Winterthurerstrasse 190","Universität Strickhof","Unterstrass/Oberstrass","6","","1984","Privat","Universität Zürich","Züriwasser","1098","privater Brunnen","privat","","","","","","nein","","","2683769.189","1250209.751","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/1098.jpg","HZ Sonnenberg","{466D2531-1720-46EC-B190-865B98A4281B}","","202308241444","POINT (2683769.2 1250209.8)"
"250","Schlösslistrasse 28","","Fluntern/Hottingen/Witikon","7","","1986","Privat","Wiederkehr","Züriwasser","1123","privater Brunnen","privat","Thomas Ehrler, Zürich","Thomas Ehrler","Mägenwiler Muschelkalk","Mägenwiler Muschelkalk","","nein","","","2684576.85","1248726.399","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","GZ Looren","{5E170728-F23D-4E1A-B688-2448621622E2}","","202308241444","POINT (2684576.8 1248726.4)"
"264","Langensteinstrasse 40","Altersheim Oberstrass","Unterstrass/Oberstrass","6","","1971","städtisch","IMMO","Züriwasser","1166","Brunnen in städtischer Liegenschaft","öffentlich","Peter Meister","Peter Meister","Carrara-Marmor","","","nein","","","2683692.443","1249737.25","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","HZ Sonnenberg","{CDDDBD67-4713-4E97-8547-777C280EE105}","","202308241444","POINT (2683692.5 1249737.2)"
"265","Sonneggstrasse 60","","Unterstrass/Oberstrass","6","","1993","Privat","Zürcher Bau- und Wohngenossenschaft","Züriwasser","1169","privater Brunnen","privat","","","","","","nein","","","2683615.409","1248401.249","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","HZ Sonnenberg","{2D4F312D-40D9-4F59-9CCD-9052C67B1EE1}","","202308241444","POINT (2683615.5 1248401.2)"
"268","Hochstrasse bei Nr. (25) Inoff.","","Fluntern/Hottingen/Witikon","7","","1994","städtisch","GSZ","Züriwasser","1173","Brunnen in städtischer Liegenschaft","öffentlich","","","","","","nein","","","2684119.881","1248364.823","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","HZ Sonnenberg","{0963C52C-41D3-46A7-B0EC-D09B52646EBD}","","202308241444","POINT (2684120 1248364.9)"
"303","Heubeeriweg 16","Schulhaus Heubeeribüel","Fluntern/Hottingen/Witikon","7","","2002","städtisch","Stadt Zürich","Züriwasser","1216","Brunnen in städtischer Liegenschaft","öffentlich","","","","","","nein","","","2685116.136","1248471.593","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","GZ Looren","{78B3152B-73CE-45D3-99AC-4591634C44FD}","","202308241444","POINT (2685116.2 1248471.6)"
"304","Forsterstrasse 50","hinter 50","Fluntern/Hottingen/Witikon","7","","","Privat","unbekannt","Züriwasser","1217","privater Brunnen","privat","","","","","","nein","","","2684795.954","1248415.843","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","BZ Orelli","{42F62334-F3A1-4A72-8C0D-4095DF97ABE8}","","202308241444","POINT (2684796 1248415.9)"
"308","Stapferstrasse 54","Schulhaus Scherr","Unterstrass/Oberstrass","6","","2003","städtisch","IMMO","Züriwasser","1227","Brunnen in städtischer Liegenschaft","öffentlich","Raderschall, Meilen","","Betontrog","","","nein","","","2683676.189","1248751.385","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/1227.jpg","HZ Sonnenberg","{7F318FDE-1E51-4A69-8814-C9E164A0F3A2}","","202308241444","POINT (2683676.2 1248751.4)"
"337","Heinrichstrasse 76","Im Hofe","Industrie","5","","1909","städtisch","LV","Züriwasser","576","Brunnen in städtischer Liegenschaft","öffentlich","","","","","","nein","","","2682451.952","1248794.691","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","Limmatzone","{03E705AC-56D2-466B-A7F2-93B73083FD14}","","202308241444","POINT (2682452 1248794.8)"
